Designator,Mid X,Mid Y,Rotation,Layer
R213,77.46,-82.66,270.0,bottom
R214,73.66,-81.86,90.0,bottom
R215,74.0,-72.025,270.0,bottom
R216,76.0,-72.0125,270.0,bottom
R217,71.8,-72.025,270.0,bottom
R218,69.7,-72.025,270.0,bottom
R219,114.46,-82.63,270.0,bottom
R220,110.66,-81.83,90.0,bottom
R221,106.86,-81.83,90.0,bottom
R222,114.5,-73.3,270.0,bottom
R223,110.3,-73.3,270.0,bottom
R224,112.4,-73.3,270.0,bottom
R225,103.06,-82.63,270.0,bottom
R226,99.26,-82.63,270.0,bottom
R227,95.46,-81.83,90.0,bottom
R228,98.9,-72.0125,90.0,bottom
R229,100.9,-72.0125,270.0,bottom
R230,96.9,-72.0125,270.0,bottom
R231,94.9,-72.0125,270.0,bottom
R300,134.52,-123.35,90.0,bottom
R301,213.9,-30.0,90.0,bottom
R400,95.1325,-138.5,0.0,bottom
R401,95.1325,-141.6,0.0,bottom
R402,84.29,-152.12,270.0,bottom
R403,84.65,-143.38,0.0,bottom
R500,116.68,-134.14,90.0,bottom
R501,114.58,-134.14,90.0,bottom
R502,118.78,-134.14,90.0,bottom
R503,122.98,-134.14,90.0,bottom
R504,120.88,-134.14,90.0,bottom
R600,189.9,-98.6,270.0,bottom
R601,186.8,-98.61,270.0,bottom
R602,183.3,-98.6,270.0,bottom
R700,187.5,-76.4,90.0,bottom
R701,183.2,-76.41,90.0,bottom
R900,204.92,-148.1125,90.0,bottom
R901,206.92,-148.1125,90.0,bottom
R902,202.92,-148.1125,90.0,bottom
R903,200.92,-148.1125,90.0,bottom
R904,198.92,-148.1,90.0,bottom
R905,191.62,-158.0,180.0,bottom
R906,201.42,-158.0,180.0,bottom
R907,211.22,-158.0,0.0,bottom
R908,222.22,-154.9,0.0,bottom
R909,221.03,-158.0,0.0,bottom
RLV100,120.8325,-90.8775,180.0,bottom
RLV200,164.38,-127.98,180.0,bottom
RLV201,225.18,-110.06,90.0,bottom
RLV202,172.48,-127.98,180.0,bottom
RLV203,211.4225,-110.1325,270.0,bottom
RLV204,180.6525,-127.98,180.0,bottom
RV100,82.34,-45.8,90.0,bottom
RV101,106.44,-46.2,90.0,bottom
RV200,75.425,-93.65,270.0,top
RV201,99.425,-93.65,270.0,top
RV300,145.06,-147.2,90.0,bottom
SW200,201.565,-71.51,0.0,top
SW201,222.515,-71.51,0.0,top
SW202,212.065,-93.51,0.0,top
U100,73.35,-59.46,90.0,bottom
U101,97.5,-59.46,90.0,bottom
U102,63.16,-93.35,180.0,bottom
U103,207.21,-29.1,180.0,bottom
U200,132.82,-136.0,270.0,bottom
U300,182.82,-141.905,270.0,bottom
U400,153.574,-92.8,0.0,bottom
